PESEL,imie,nazwisko,kodpocztowy,telefon,datarekrutacji,sredniamaturalna,statusaplikacji,IDwydzialu,nazwawydzialu
47770478590,Grzegorz,Bednarek,75-924,+48 753-134-555,2025-07-01,54.86,odrzucony,4,Prawo
60476497313,Rafał,Skiba,25-229,+48 752-687-196,2025-06-19,65.34,odrzucony,3,Fizyka
21670575898,Cezary,Zając,44-939,+48 595-734-807,2025-07-02,84.42,zaakceptowany,2,Biologia
97625682199,Szymon,Kozłowski,78-663,+48 539-847-260,2025-06-16,81.0,oczekuje,4,Prawo
44399777794,Maciej,Jankowski,23-173,+48 509-961-772,2025-06-29,81.02,zaakceptowany,2,Biologia
39104785112,Tobiasz,Wiśniewski,86-173,+48 665-319-360,2025-06-18,81.49,oczekuje,4,Prawo
12172789026,Milena,Michalska,92-549,+48 746-859-701,2025-07-02,60.4,oczekuje,7,Medycyna
67432598889,Beata,Nowicka,52-848,+48 684-446-778,2025-07-01,83.48,zaakceptowany,7,Medycyna
18171934686,Anna,Wasilewska,83-138,+48 603-173-723,2025-06-23,59.26,odrzucony,0,Informatyka
82166757852,Patryk,Kozłowski,16-632,+48 583-577-188,2025-06-22,79.18,oczekuje,1,Matematyka
16482742006,Gabriela,Wilczyńska,98-726,+48 783-691-367,2025-07-01,61.79,zaakceptowany,1,Matematyka
92070408461,Natalia,Kulesza,97-624,+48 503-251-853,2025-06-13,85.27,zaakceptowany,0,Informatyka
23232915993,Fabian,Kaczmarek,06-447,+48 688-710-958,2025-06-27,60.87,oczekuje,1,Matematyka
82355565961,Natasza,Staniszewska,86-616,+48 820-392-279,2025-07-03,75.42,odrzucony,4,Prawo
09530516637,Szymon,Stępień,57-340,+48 829-210-457,2025-07-03,58.78,odrzucony,7,Medycyna
15545897538,Damian,Kubiak,80-857,+48 672-830-938,2025-06-20,85.3,zaakceptowany,1,Matematyka
31823364293,Igor,Tomczak,57-013,+48 772-430-744,2025-07-02,56.55,odrzucony,6,Filologia
63393781068,Iga,Rutkowska,91-564,+48 608-396-737,2025-06-14,64.9,oczekuje,6,Filologia
24119426942,Barbara,Grzelak,13-486,+48 831-779-738,2025-06-24,77.84,odrzucony,4,Prawo
29904282256,Dawid,Górski,17-126,+48 634-886-239,2025-07-04,56.5,odrzucony,2,Biologia
63170599107,Jagoda,Głowacka,18-961,+48 857-705-699,2025-06-11,84.6,zaakceptowany,2,Biologia
64033326615,Fabian,Baran,10-242,+48 896-514-884,2025-06-07,82.98,oczekuje,6,Filologia
29597542942,Dominika,Pietrzak,32-126,+48 837-648-529,2025-06-26,75.87,oczekuje,3,Fizyka
22241913772,Jakub,Czerwiński,39-110,+48 803-455-406,2025-06-27,57.07,odrzucony,0,Informatyka
03868146910,Szymon,Szulc,16-370,+48 632-627-276,2025-06-28,87.56,zaakceptowany,3,Fizyka
37796361217,Jakub,Kamiński,78-488,+48 542-783-977,2025-06-20,54.96,odrzucony,7,Medycyna
07821257754,Grzegorz,Staniszewski,94-037,+48 808-865-192,2025-06-11,84.45,oczekuje,6,Filologia
86249636104,Cecylia,Mazur,40-167,+48 561-543-575,2025-06-25,53.99,odrzucony,4,Prawo
46368767066,Cecylia,Pawlak,22-377,+48 737-406-819,2025-06-07,85.23,oczekuje,1,Matematyka
59432032479,Fabian,Zając,16-200,+48 813-565-205,2025-07-06,74.76,oczekuje,0,Informatyka
69670726849,Karolina,Jankowska,76-415,+48 502-650-474,2025-06-28,82.91,oczekuje,4,Prawo
78737701041,Katarzyna,Wasilewska,29-930,+48 778-208-852,2025-06-27,88.11,zaakceptowany,1,Matematyka
29746593805,Julia,Wiśniewska,47-166,+48 864-941-386,2025-06-20,53.24,odrzucony,3,Fizyka
22091377527,Lidia,Borowska,66-928,+48 506-492-520,2025-07-02,73.81,odrzucony,4,Prawo
28448379257,Cezary,Kubiak,64-149,+48 801-122-343,2025-06-14,51.1,odrzucony,1,Matematyka
83222876529,Sylwia,Wasilewska,89-971,+48 623-291-148,2025-06-17,81.39,oczekuje,3,Fizyka
21836444445,Eliza,Janowska,14-348,+48 820-215-901,2025-06-09,54.19,odrzucony,1,Matematyka
59324718760,Anna,Lewandowska,44-053,+48 854-834-967,2025-06-26,73.14,zaakceptowany,7,Medycyna
02701975154,Grzegorz,Kubiak,05-750,+48 714-362-876,2025-06-09,52.68,odrzucony,1,Matematyka
15596088675,Fabian,Urban,07-985,+48 501-337-347,2025-06-20,80.57,oczekuje,5,Ekonomia
01160314766,Natalia,Pawlak,86-789,+48 708-102-980,2025-06-06,66.79,oczekuje,0,Informatyka
19247070814,Cezary,Piotrowski,67-664,+48 656-608-747,2025-07-03,56.38,odrzucony,6,Filologia
51667742502,Gabriela,Tokarska,87-090,+48 812-609-111,2025-07-04,66.01,odrzucony,2,Biologia
17282512028,Barbara,Kamińska,96-501,+48 653-544-543,2025-06-20,61.22,zaakceptowany,1,Matematyka
01575032373,Hubert,Wilczyński,60-980,+48 551-795-689,2025-06-11,65.31,odrzucony,1,Matematyka
12784457154,Tobiasz,Jabłoński,50-562,+48 614-425-497,2025-06-22,53.46,odrzucony,1,Matematyka
